role,description,required_skills,education_level,tools_technologies,learning_path,personality_traits,domain_industries,average_salary_range,job_demand_level,career_growth_score,related_roles,education,experience,salary_range
AI Ethicist,Studies and ensures ethical AI practices.,"Numpy, Python, Pytorch, Reinforcement Learning",Master's,"Keras,Power BI,Scikit-Learn,Docker",Step 1: Reinforcement Learning|Step 2: Numpy|Step 3: PyTorch|Step 4: Python,"Team Player,Detail-Oriented","Manufacturing,Retail,Finance",$89000 - $141000,Low,79.0,"AI Software Developer,Business Intelligence Developer",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Azure, Big Data, Java, Numpy, Python",Bachelor's,"Jupyter,Kubernetes,Azure ML",Step 1: Big Data|Step 2: Azure|Step 3: Numpy|Step 4: Python,"Curious,Innovative","Manufacturing,Defense,Education",$68000 - $130000,Low,98.0,"NLP Engineer,Speech Recognition Engineer",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Azure, Deep Learning, Java, Pandas, Sql",Bachelor's,"Tableau,Azure ML,Scikit-Learn",Step 1: Pandas|Step 2: SQL|Step 3: Deep Learning|Step 4: Azure,"Logical,Creative,Curious","Education,Defense",$68000 - $128000,High,73.0,"Cloud AI Engineer,Data Scientist",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Ai Ethics, Java, R, Reinforcement Learning, Tensorflow",Master's,"Tableau,Hadoop,Kubernetes",Step 1: R|Step 2: AI Ethics|Step 3: Reinforcement Learning|Step 4: TensorFlow,"Logical,Team Player","Healthcare,E-commerce",$87000 - $158000,Low,100.0,"Reinforcement Learning Engineer,AI Product Manager",,,
Business Intelligence Developer,Develops BI solutions to analyze business data.,"Aws, Business Intelligence, Data Visualization, Java, Numpy, R, Sql",PhD,"Jupyter,Power BI,Hadoop,Kubernetes",Step 1: Numpy|Step 2: R|Step 3: SQL|Step 4: Data Visualization|Step 5: AWS,"Curious,Innovative,Team Player","Healthcare,Retail",$88000 - $143000,Medium,73.0,"Machine Learning Engineer,Data Scientist",,,
Data Analyst,Processes and visualizes data to generate insights.,"Ai Ethics, Data Analysis, Deep Learning, Feature Engineering, Pytorch, R, Statistics",Master's,"Azure ML,Google Cloud AI,Jupyter,Tableau",Step 1: Deep Learning|Step 2: Statistics|Step 3: R|Step 4: Feature Engineering|Step 5: AI Ethics|Step 6: PyTorch,"Curious,Detail-Oriented","Education,Finance,Retail",$90000 - $117000,Low,91.0,"Cloud AI Engineer,Speech Recognition Engineer",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Feature Engineering, Java, Numpy, R, Sql",PhD,"Apache Spark,Jupyter",Step 1: Numpy|Step 2: SQL|Step 3: Feature Engineering|Step 4: R,"Creative,Curious","Defense,E-commerce",$67000 - $110000,Medium,72.0,"AI Solutions Architect,Business Intelligence Developer",,,
AI Ethicist,Studies and ensures ethical AI practices.,"Big Data, Cloud Computing, Data Wrangling, Deep Learning, R, Tensorflow",PhD,"Apache Spark,Google Cloud AI,Power BI,Azure ML",Step 1: Deep Learning|Step 2: Cloud Computing|Step 3: TensorFlow|Step 4: Data Wrangling|Step 5: R|Step 6: Big Data,"Innovative,Curious,Analytical","Manufacturing,Finance",$73000 - $158000,High,93.0,"Data Analyst,AI Software Developer",,,
Speech Recognition Engineer,Develops systems that understand spoken language.,"Data Visualization, Java, Numpy, Pytorch, R",Master's,"Apache Spark,Hadoop,Azure ML",Step 1: PyTorch|Step 2: Data Visualization|Step 3: Numpy|Step 4: R,"Detail-Oriented,Creative,Innovative","Education,Retail",$85000 - $134000,Low,85.0,"Computer Vision Engineer,AI Consultant",,,
AI Ethicist,Studies and ensures ethical AI practices.,"Big Data, Computer Vision, Pandas, Python, Pytorch, Tensorflow",PhD,"Power BI,Apache Spark",Step 1: Python|Step 2: Pandas|Step 3: Big Data|Step 4: PyTorch|Step 5: Computer Vision|Step 6: TensorFlow,"Logical,Curious","Retail,E-commerce",$94000 - $150000,Low,67.0,"AI Software Developer,AI Researcher",,,
Data Analyst,Processes and visualizes data to generate insights.,"Data Analysis, Deep Learning, Feature Engineering, R, Sql",PhD,"Apache Spark,Keras,Google Cloud AI,Tableau",Step 1: SQL|Step 2: Feature Engineering|Step 3: Deep Learning|Step 4: R,"Team Player,Curious,Innovative","Education,Healthcare,Retail",$86000 - $134000,High,94.0,"NLP Engineer,AI Product Manager",,,
Deep Learning Specialist,Builds deep neural networks for various AI tasks.,"Aws, Azure, Data Visualization, Data Wrangling, Pandas, Reinforcement Learning",Bachelor's,"Keras,Power BI",Step 1: Data Wrangling|Step 2: Pandas|Step 3: AWS|Step 4: Reinforcement Learning|Step 5: Azure|Step 6: Data Visualization,"Analytical,Creative","Finance,Healthcare,Manufacturing",$77000 - $123000,High,74.0,"NLP Engineer,Data Analyst",,,
